,Country,HappinessScore,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,TrustGovernmentCorruption,Generosity,DystopiaResidual,Socialsupport
132,Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,1.198
133,South Africa,4.6433333321,0.9997829019,1.1766662108,0.2166900235,0.4120489119,0.0818331658,0.1318841266,1.6242462012,1.158
134,South Korea,5.8856666069,1.3352561477,0.9359848136,0.9173480253,0.2805605553,0.0730042229,0.1934947891,2.1501026693,1.413
135,South Sudan,3.7115000401,0.3955943129,0.3932565639,0.1606480019,0.1718412179,0.1234717566,0.2723304084,2.1944286924,0.76325
136,Spain,6.3643332926,1.3190126214,1.3251103008,0.9078468666,0.4145804101,0.0654213657,0.1830178572,2.14935258,1.4578333333
137,Sri Lanka,4.3753333524,0.9394233815,1.0422854623,0.6510869441,0.5355477516,0.0816946554,0.4563078539,0.6690930826,0.957
138,Sudan,4.2759999797,0.6037588974,1.0157761899,0.3190969413,0.0386019518,0.1122791733,0.1845691502,2.0018619466,1.1063333333
139,Suriname,6.269,1.0461,0.87533,0.558765,0.559455,0.131625,0.16828,2.92973,1.3345
140,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,1.2265
141,Sweden,7.3129999733,1.4259690897,1.2849573898,0.8576517194,0.6183013663,0.4105029095,0.3768530841,2.3386893315,1.5353333333
142,Switzerland,7.529999986,1.4962731844,1.3372205817,0.8875304298,0.6237368589,0.3996057618,0.2893864261,2.4962420774,1.6003333333
143,Syria,3.1789999644,0.7291810448,0.3398842024,0.6174677808,0.1024998149,0.1709123768,0.4831412427,0.7360145018,0.698
144,Taiwan,6.3385,1.344135,1.001205,0.835475,0.360585,0.073795,0.254355,2.46923,1.374
145,Taiwan Province of China,6.4219999313,1.4336265326,1.3845653534,0.7939842343,0.3614665866,0.0638292357,0.2583604753,2.1266074181,1.398
146,Tajikistan,4.9409999631,0.4678445451,0.9610377583,0.5447383749,0.4592689023,0.1440623821,0.2462392145,2.1180331099,1.1646666667
147,Tanzania,3.598666659,0.4226286254,0.9402999344,0.3678864282,0.3454659259,0.0581650356,0.3375821206,1.1265368222,0.9
148,Thailand,6.4509999288,1.0613562572,1.2452008186,0.6782963431,0.5441235773,0.0306042451,0.5784610368,2.3128527809,1.4086666667
149,Togo,3.2123332952,0.2651182391,0.1906108435,0.2598818562,0.3639120462,0.1062816718,0.1796253836,1.8466297506,0.2355
150,Trinidad and Tobago,6.1680000738,1.2996353003,1.1831528398,0.5536310972,0.5206669143,0.0109249387,0.3210288205,2.2786691506,1.4366666667
151,Tunisia,4.8629999428,0.9552119354,0.6347638198,0.648970683,0.2626302299,0.0773343829,0.0511211191,2.2330137199,0.8676666667
152,Turkey,5.407,1.141391458,1.0537477256,0.6721685358,0.2559268665,0.1268705266,0.0720976806,2.0850993149,1.307
153,Turkmenistan,5.6760000089,1.0564722543,1.2526663871,0.4722153601,0.4228173097,0.2841267801,0.2151283292,1.9725466075,1.3285
154,Uganda,3.9169999504,0.3132135718,1.0575425793,0.2508308689,0.4456619851,0.0647199063,0.2958153523,1.4893942192,1.0936666667
155,Ukraine,4.3670000648,0.8555306498,1.203815856,0.612027984,0.1675982586,0.0236431569,0.208813821,1.2954807716,0.9716666667
156,United Arab Emirates,6.7073332545,1.5423777898,1.0877667439,0.7553260788,0.6040217567,0.3553098546,0.2970439822,2.0657345136,1.3155
157,United Kingdom,6.7686667417,1.3702779799,1.28955336,0.8415586463,0.5349333453,0.2866960221,0.5044847196,1.9413578414,1.434
158,United States,7.0720000102,1.4829097613,1.2382835212,0.8050255426,0.5111368411,0.1477395961,0.4014662602,2.4853478075,1.498
159,Uruguay,6.4946666654,1.1535965651,1.2175192897,0.7508822745,0.5756307515,0.2125272909,0.1960189764,2.3884065115,1.3923333333
160,Uzbekistan,5.9870000648,0.7182636959,1.3524997165,0.5325408759,0.641646221,0.2793727411,0.329204549,2.1335678682,1.394
161,Venezuela,6.048,1.1021137337,1.240105865,0.6522347423,0.2605157077,0.0860737077,0.0553098766,2.6518179195,1.3688333333
162,Vietnam,5.1649999606,0.7203591918,0.9936404437,0.6868329964,0.5750118637,0.1025344124,0.2181060171,1.8686162196,1.1773333333
163,Yemen,3.7979999784,0.5725211491,0.697080749,0.3404003052,0.2779579074,0.0647424742,0.0978817364,1.7472268683,0.8263333333
164,Zambia,4.8126666463,0.5729355931,0.8523024329,0.2642686316,0.4588311642,0.1058945167,0.2080500483,2.3503051519,1.0665
165,Zimbabwe,4.226,0.332418845,0.9435453027,0.230337918,0.2830947357,0.0873284605,0.1880144979,2.1608600824,1.0775
